Reg_id,Gender,Age,Construction,New Construction,Elevator,Floors,Floor_area,Rooms,Bathrooms,Ceiling_height,Floor,Balcony,Furnished,Renovation,Children Welcome,Pets Allowed,Utility Payments,Address,Price,Currency,Duration,Date,Amenities,Appliances,Parking,Index,EXCLUDED_ID,REASON,Monthly USD Price
2,Male,20,Stone,False,False,5.0,78.0,3.0,1.0,2.7,3.0,Closed balcony,Available,Major Renovation,11.0,11.0,10.0,Armavir › Echmiadzin,160000.0,AMD,monthly,2022-12-15,none,none,none,A2,2,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1255.4737135191233
7,Female,57,,False,False,-1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,"Lernagorts Street, Vardenis",80000.0,AMD,monthly,2022-12-15,none,none,none,A3,3,The floor exceeds than the number of floors in the building.; The area in square metres is less than 10.; The ceiling height was missing or 0.; ,1907.4262461851476
1,Male,54,monolith,True,True,12.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,none,none,none,A5,5,Date was Missing; ,944.3062395288623
10,Male,32,Stone,False,False,5.0,70.0,3.0,0.0,0.0,2.0,,,,0.0,0.0,0.0,Tavush › Dilijan,120000.0,AMD,monthly,2022-11-24,none,none,none,A7,7,The ceiling height was missing or 0.; ,944.3062395288623
1,Male,33,stone,False,False,5.0,55.0,2.0,1.0,2.7,3.0,0,1,cosmetic_renovation,1.0,2.0,1.0,"Abovyan street, Yerevan",9000.0,AMD,daily,2023-01-07,none,none,none,A21,21,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1883.2105702786848
1,Male,53,Monolith,True,True,7.0,84.0,3.0,1.0,3.0,4.0,Open balcony,Available,Major Renovation,11.0,10.0,10.0,Yerevan › Arabkir,800000.0,AMD,monthly,2022-12-15,none,none,none,A23,23,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,2981.750069607918
1,Male,23,Stone,False,False,5.0,35.0,1.0,1.0,3.0,2.0,Not available,Available,Euro Renovation,11.0,10.0,10.0,"Saryan Street, Yerevan",1200.0,USD,monthly,2022-12-15,none,none,none,A26,26,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1961.67767737363
1,Female,32,Monolith,True,True,9.0,90.0,3.0,2.0,2.75,6.0,Closed balcony,,Designer Renovation,0.0,0.0,0.0,"Sayat Nova avenue, Yerevan",50000.0,AMD,daily,2022-12-15,none,none,none,A30,30,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1490.875034803959
1,Male,31,Monolith,True,True,13.0,150.0,3.0,1.0,3.0,11.0,Open balcony,Available,Designer Renovation,11.0,10.0,10.0,"Leo street, Yerevan",2300.0,USD,monthly,2022-12-15,none,none,none,A35,35,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,2040.1447844685752
1,Female,62,Stone,False,False,4.0,38.0,2.0,1.0,2.8,2.0,Not available,Available,Euro Renovation,11.0,10.0,10.0,Yerevan › Ajapnyak,220000.0,AMD,monthly,2022-12-15,none,none,none,A36,36,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1569.342141898904
1,Male,21,Monolith,True,True,14.0,70.0,2.0,1.0,3.0,10.0,Not available,,Major Renovation,11.0,10.0,10.0,"Komitas Avenue, Yerevan",800.0,USD,monthly,2022-12-15,none,none,none,A40,40,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1177.006606424178
1,Male,44,monolith,True,True,14.0,135.0,4.0,2.0,3.0,9.0,open_balcony,,major_renovation,0.0,0.0,0.0,"Komitas Avenue, Yerevan",1300.0,USD,monthly,2023-01-07,none,none,none,A49,49,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1569.342141898904
1,Female,52,stone,False,False,4.0,56.0,2.0,1.0,2.8,2.0,0,partial_furniture,old_renovation,1.0,1.0,0.0,"Hayk Hovsepyan street, Yerevan",120000.0,AMD,monthly,2023-01-07,television,"fridge,_washing_machine",,A54,54,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,941.6052851393424
1,Male,70,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,A68,68,Date was Missing; ,1726.2763560887945
1,Male,60,stone,False,False,4.0,32.0,1.0,1.0,2.8,2.0,open_balcony,1,cosmetic_renovation,1.0,0.0,0.0,"Shinararneri street, Yerevan",150000.0,AMD,monthly,2023-01-07,,"fridge,_microwave,_washing_machine,_water_heater",,A74,74,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1569.342141898904
1,Male,61,panels,False,True,9.0,70.0,3.0,1.0,2.75,4.0,closed_balcony,1,cosmetic_renovation,1.0,1.0,0.0,"Մինսկի փողոց 17, Երևան",170000.0,AMD,monthly,2023-01-07,television,"fridge,_stove,_washing_machine,_iron",outdoor_parking,A82,82,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1333.9408206140683
