Address,Translated,Status,Province,Administrative District,Building,Neighbourhood,Town,Street,Village,Country,Latitude,Longitude,api,Block,Lane,Street Number,Index
"զաքյան փողոցի 1-ին նրբանցք 4, երևան","4, 1st Alley, Zakyan Street, Yerevan",OK,Yerevan,Yerevan,1,,Yerevan,Zaqyan Street,,Armenia,40.17696,44.504956,Yandex,,1st Lane,,['A7079']
"զաքյան փողոցի 1-ին նրբանցք 1, երևան","1st Lane, Zakyan Street, Yerevan",OK,Yerevan,Yerevan,1,,Yerevan,Zaqyan Street,,Armenia,40.17696,44.504956,Yandex,,1st Lane,,"['A12290', 'A25443', 'B6465', 'B6872']"
"զաքյան փողոցի 1-ին նրբանցք, երևան","1st Alley Of Zakyan Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Zaqyan Street,,Armenia,40.177504,44.505351,Yandex,,1st Lane,,"['A937', 'A9497', 'A31700']"
"եղիշե թադևոսյան փողոցի նրբանցք, երևան","Alley Of Yeghishe Tadevosyan Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Yeghishe Tadevosyan Street Lane,,Armenia,40.143546,44.486657,Yandex,,,,['A1522']
"eghishe tadevosyan lane, yerevan","Eghishe Tadevosyan Lane, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Yeghishe Tadevosyan Street Lane,,Armenia,40.143546,44.486657,Yandex,,,,['A9995']
"eghishe tadevosyan lane 10, yerevan","Eghishe Tadevosyan Lane 10, Yerevan",OK,Yerevan,Yerevan,10,,Yerevan,Yeghishe Tadevosyan Street Lane,,Armenia,40.14276,44.485795,Yandex,,,,['A28092']
"եղիշե չարենցի փողոց 46, վարդենիս","46 Yeghishe Charents Street, Vardenis",OK,Yerevan,Yerevan,46,,,Yeghishe Charents Street,,Armenia,40.1708254,44.5274093,Azure,,,,['B325']
"եղիշե չարենցի փողոց 42, երևան","42 Yeghishe Charents Street, Yerevan",OK,Yerevan,Yerevan,42,,,Yeghishe Charents Street,,Armenia,40.178147,44.527245,Azure,,,,['A24063']
"եղիշե չարենցի փողոց 54, վարդենիս","54 Yeghishe Charents Street, Vardenis",OK,Gegharkunik,Yerevan,54,,Vardenis,Yeghishe Charents Street,,Armenia,40.19032,45.745448,Yandex,,,,['B359']
"վրացական փողոցի 4-րդ նրբանցք 7, երևան","7, 4th Lane, Vratsakan Street, Yerevan",OK,Yerevan,Yerevan,7,,Yerevan,Vratsakan Street,,Armenia,40.208298,44.508261,Yandex,,4th Lane,,"['A1407', 'A28858']"
"2-й переулок улицы врацакан 4/3, ереван","2nd Lane Of Vratsakan Street 4/3, Yerevan",OK,Yerevan,Yerevan,4/3,,Yerevan,Vratsakan Street,,Armenia,40.205467,44.511271,Yandex,,2nd Lane,,['A24396']
"վիլնյուսի փողոց 27/4, երևան","Vilnius Street 27/4, Yerevan",OK,Yerevan,Yerevan,27/4,,Yerevan,Vilnyus Street,,Armenia,40.1700097,44.56589062,Nominatim,,,,['A28659']
"վիլնյուսի փողոց, նոր նորքի 9-րդ զանգված","Vilnius Street, Nor Nork 9th District",OK,Yerevan,Yerevan,,9th Residential Area,Yerevan,Vilnyus Street,,Armenia,40.171633,44.565098,Yandex,,,,"['A2226', 'A3060', 'A21903', 'A30348']"
"վիլնյուսի փողոց 7, նոր նորքի 9-րդ զանգված","Vilnius Street 7, Nor Nork 9th District",OK,Yerevan,Yerevan,35/7,9th Residential Area,Yerevan,Vilnyus Street,,Armenia,40.171633,44.565098,Yandex,,,,['A23871']
"վիլնյուսի փողոց 25/2, նոր նորքի 9-րդ զանգված","Vilnius Street 25/2, Nor Nork 9th District",OK,Yerevan,Yerevan,25/2(20),9th Residential Area,Yerevan,Vilnyus Street,,Armenia,40.171633,44.565098,Yandex,,,,['A3553']
"վիլնյուսի փողոց, երևան","Vilnius Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Vilnius Street,,Armenia,40.173391,44.567748,Yandex,,,,"['A646', 'A871', 'A1840', 'A5257', 'A6627', 'A20683']"
"վիլնյուսի փողոց 4/7, երևան","Vilnius Street 4/7, Yerevan",OK,Yerevan,Yerevan,4/7,,Yerevan,Vilnius Street,,Armenia,40.172391,44.560337,Yandex,,,,['A19396']
"vilnius street, yerevan","Vilnius Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Vilnius Street,,Armenia,40.173391,44.567748,Yandex,,,,['A28240']
"вильнюсская улица, ереван","Vilnius Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Vilnius Street,,Armenia,40.173391,44.567748,Yandex,,,,['A29374']
"vilnius street 3, yerevan","Vilnius Street 3, Yerevan",OK,Yerevan,Yerevan,3,,Yerevan,Vilnius Street,,Armenia,40.173205,44.568736,Yandex,,,,['A26417']
"vilnius st, yerevan","Vilnius Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Vilnius Street,,Armenia,40.173391,44.567748,Yandex,,,,['A17']
"վիկտոր համբարձումյան փողոց 12/5, երևան","12/5 Victor Hambardzumyan Street, Yerevan",OK,Yerevan,Yerevan,12/5,,Yerevan,Viktor Hambardzumyan Street,,Armenia,40.198304,44.503455,Yandex,,,,['A15558']
"վիկտոր համբարձումյան փողոց 97, երևան","97 Victor Hambardzumyan Street, Yerevan",OK,Yerevan,Yerevan,97,,,Victor Hambardzumyan Street,,Armenia,40.198515,44.503755,Azure,,,,['A13644']
"վիկտոր համբարձումյան փողոց 8/1, երևան","8/1 Victor Hambardzumyan Street, Yerevan",OK,Yerevan,Yerevan,8/1,,,Victor Hambardzumyan Street,,Armenia,40.196701,44.499834,Azure,,,,['A24060']
"վերին շենգավիթի 2-րդ փողոց, երևան","2nd Upper Shengavit Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Verin Shengavit Street,,Armenia,40.154072,44.492945,Yandex,,,2nd,['A32321']
"վերին շենգավիթի 10-րդ փողոց, երևան","10th Upper Shengavit Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Verin Shengavit Street,,Armenia,40.148234,44.488975,Yandex,,,10th,['A22305']
"վառլամ ավանեսովի փողոց 6/1, երևան","Varlam Avanesov Street 6/1, Yerevan",OK,Yerevan,Yerevan,6/1,,,Varlam Avanesov Street,,Armenia,40.131831,44.527987,Azure,,,,['A752']
"վառլամ ավանեսովի փողոց 1/3, երևան","1/3 Varlam Avanesov Street, Yerevan",OK,Yerevan,Yerevan,1/3,,,Varlam Avanesov Street,,Armenia,40.130002,44.528473,Azure,,,,['A19879']
"վարդան աճեմյանի փողոց, երևան","Vardan Achemyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Vardan Achemyan Street,,Armenia,40.151961,44.51361,Azure,,,,['A22751']
"վահրամ փափազյանի 2-րդ նրբանցք, երևան","Vahram Papazyan 2nd Alley, Yerevan",OK,Yerevan,Yerevan,,,,Vahram Papazyan,,Armenia,40.212009,44.503153,Azure,,2nd Alley,,['A24273']
