Address,Translated,Status,Province,Administrative District,Building,Neighbourhood,Town,Street,Village,Country,Latitude,Longitude,api
"Մովսես Խորենացի փողոց 1-ին նրբանցք, Երևան","Movses Khorenatsi Street, 1st Lane, Yerevan",OK,Yerevan,Yerevan,,,,Քրիստափորի փողոց 1-ին Նրբանցք & Մովսես Խորենացի փողոց,,Armenia,40.16267,44.516311,Azure
"Րաֆֆու փողոց, Ստեփանակերտ","Raffi Street, Stepanakert",OK,Yerevan,Yerevan,,,,Րաֆֆու փողոց,,Armenia,40.174076,44.447931,Azure
"Րաֆֆու փողոց 1, Yerevan","1 Raffi Street, Yerevan",OK,Yerevan,Malatia-Sebastia,111/1,,Yerevan,Րաֆֆու փողոց,,Armenia,40.17278645,44.43168285,Nominatim
"Շահումյան փողոց, Դիլիջան","Shahumyan Street, Dilijan",OK,Tavush,Dilijan,,,Dilijan,Տիգրան Պետրոսյան փողոց,,Armenia,40.74298,44.845839,Yandex
"Շահումյան փողոց 13, Դիլիջան","Shahumyan Street 13, Dilijan",OK,Tavush,Dilijan,3/3,,Dilijan,Տիգրան Պետրոսյան փողոց,,Armenia,40.745959,44.846522,Yandex
"Շահումյան փողոց 10, Դիլիջան","Shahumyan Street 10, Dilijan",OK,Tavush,Dilijan,3/3,,Dilijan,Տիգրան Պետրոսյան փողոց,,Armenia,40.745959,44.846522,Yandex
"Օրջոնիկիդզեի փողոց 71, Դիլիջան","Ordzhonikidze Street 71, Dilijan",OK,Tavush,Dilijan,71,Takhta,Dilijan,Տիգրան Պետրոսյան փողոց,,Armenia,40.74298,44.845839,Yandex
"Վիկտոր Համբարձումյան փողոց 97, Երևան","97 Victor Hambardzumyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Վիկտոր Համբարձումյանի փողոց,,Armenia,40.198515,44.503755,Azure
"Վիկտոր Համբարձումյան փողոց 8/1, Երևան","8/1 Victor Hambardzumyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Վիկտոր Համբարձումյանի փողոց,,Armenia,40.196701,44.499834,Azure
"Վարդան Աճեմյանի փողոց, Երևան","Vardan Achemyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Վարդան Աճեմյան փողոց 3-րդ Նրբանցք,,Armenia,40.151961,44.51361,Azure
"Վառլամ Ավանեսովի փողոց 6/1, Երևան","Varlam Avanesov Street 6/1, Yerevan",OK,Yerevan,Yerevan,,,,Վառլամ Ավանեսով փողոց,,Armenia,40.131831,44.527987,Azure
"Վառլամ Ավանեսովի փողոց 1/3, Երևան","1/3 Varlam Avanesov Street, Yerevan",OK,Yerevan,Yerevan,,,,Վառլամ Ավանեսով փողոց,,Armenia,40.130002,44.528473,Azure
"Վահրամ Փափազյանի 2-րդ նրբանցք, Երևան","Vahram Papazyan 2nd Alley, Yerevan",OK,Yerevan,Yerevan,,,,Վահրամ Փափազյան փողոց 2-րդ Նրբանցք,,Armenia,40.212009,44.503153,Azure
"Վահան Տերյանի փողոց 69, Երևան","69 Vahan Teryan Street, Yerevan",OK,Yerevan,Yerevan,,,,Վահան Տերյան փողոց,,Armenia,40.186422,44.518495,Azure
"Վահագնի թաղամաս, Երևան","Vahagni district, Yerevan",OK,Yerevan,Ajapnyak,,Vahagni District,Yerevan,Վահագնի թաղամաս,,Armenia,40.22004,44.448497,Yandex
"Վահագնի Թաղամաս, Երևան","Vahagni District, Yerevan",OK,Yerevan,Ajapnyak,,Vahagni district,Yerevan,Վահագնի թաղամաս,,Armenia,40.2152158,44.44604514,Nominatim
"Վահագնի թաղամաս 301, Վահագնի թաղամաս","Vahagni District 301, Vahagni District",OK,Kotayk,Ajapnyak,,1st district,Yerevan,Վահագնի թաղամաս,,Armenia,40.406109,44.645003,Yandex
"Սողոմոն Տարոնցի փողոց, Երևան","Soghomon Tarontsi Street, Yerevan",OK,Yerevan,Yerevan,,,,Սողոմոն Տարոնցի փողոց,,Armenia,40.14694,44.486434,Azure
"Սողոմոն Տարոնցի փողոց 13, Երևան","Soghomon Tarontsi Street 13, Yerevan",OK,Yerevan,Yerevan,,,,Սողոմոն Տարոնցի փողոց,,Armenia,40.14694,44.486434,Azure
"Սողոմոն Տարոնցի փողոց 3, Երևան","3 Soghomon Tarontsi Street, Yerevan",OK,Yerevan,Yerevan,,,,Սողոմոն Տարոնցի փողոց,,Armenia,40.146412,44.48602,Azure
"7-րդ թաղամաս, Չարենցավան","7th district, Charentsavan",OK,Kotayk,Charentsavan,,7th district,Charentsavan,Սիլիկյան Թաղամաս 7-րդ փողոց,,Armenia,40.3982399,44.63279822,Nominatim
"Դավթաշեն 4-րդ թաղամաս 33/1, Երևան","Davtashen 4th district 33/1, Yerevan",OK,Yerevan,Davtashen,33/1,Davtashen 4th Block,Yerevan,Սիլիկյան Թաղամաս 4-րդ փողոց 1-ին Նրբանցք,,Armenia,40.223662,44.499179,Yandex
"Դավթաշեն 4-րդ թաղամաս 10/1, Երևան","Davtashen 4th district 10/1, Yerevan",OK,Yerevan,Davtashen,10/1,Davtashen 4th Block,Yerevan,Սիլիկյան Թաղամաս 4-րդ փողոց 1-ին Նրբանցք,,Armenia,40.220639,44.496628,Yandex
"Դավթաշեն 4-րդ թաղամաս 1, Երևան","Davtashen 4th District 1, Yerevan",OK,Yerevan,Davtashen,1,Davidashen 4th block,Yerevan,Սիլիկյան Թաղամաս 4-րդ փողոց 1-ին Նրբանցք,,Armenia,40.22275625,44.49765276,Nominatim
"Դավթաշենի 4-րդ թաղամաս, Երևան","Davtashen 4th district, Yerevan",OK,Yerevan,Davtashen,,Davtashen 4th Block,Yerevan,Սիլիկյան Թաղամաս 4-րդ փողոց,,Armenia,40.222106,44.499853,Yandex
"Դավթաշենի 4-րդ թաղամաս 4, Երևան","Davtashen 4th District 4, Yerevan",OK,Yerevan,Davtashen,4,Davidashen 4th block,Yerevan,Սիլիկյան Թաղամաս 4-րդ փողոց,,Armenia,40.2220489,44.49704097,Nominatim
"4-րդ թաղամաս, Չարենցավան","4th district, Charentsavan",OK,Kotayk,Charentsavan,,4th district,Charentsavan,Սիլիկյան Թաղամաս 4-րդ փողոց,,Armenia,40.406549,44.648893,Yandex
"Դավթաշեն 2-րդ թաղամաս 3, Երևան","Davtashen 2nd District 3, Yerevan",OK,Yerevan,Davtashen,3,Davtashen 2nd Block,Yerevan,Սիլիկյան Թաղամաս 3-րդ փողոց & Սիլիկյան Թաղամաս 2-րդ փողոց,,Armenia,40.224027,44.492442,Yandex
"Դավթաշեն 2-րդ թաղամաս 46/4, Երևան","Davtashen 2nd District 46/4, Yerevan",OK,Yerevan,Davtashen,46/4,Davtashen 2nd Block,Yerevan,Սիլիկյան Թաղամաս 2-րդ փողոց & Սիլիկյան Թաղամաս 4-րդ փողոց,,Armenia,40.223428,44.492514,Yandex
"Սիլիկյան թաղամաս 10֊րդ փողոց, Երևան","Silikyan district, 10th street, Yerevan",OK,Yerevan,Yerevan,,,,Սիլիկյան Թաղամաս 10 փողոց,,Armenia,40.210746,44.442911,Azure
"1 թաղամաս 1, Երևան","1st district 1, Yerevan",OK,Yerevan,Ajapnyak,1,Davtashen 1st Block,Yerevan,Սիլիկյան Թաղամաս 1 փողոց,,Armenia,40.221376,44.487555,Yandex
"Սեվյան փողոց, Գյումրի","Sevyan Street, Gyumri",OK,Shirak,Gyumri,,,Gyumri,Սեվյան փողոց,,Armenia,40.78472891,43.85923401,Nominatim
"Սարի Թաղ 5-րդ փողոց, Երևան","Sari Tagh 5th Street, Yerevan",OK,Yerevan,Erebuni,,,,Սարի Թաղ 10 փողոց,,Armenia,40.160791,44.525822,Azure
"Սայաթ-Նովա թաղամաս, Երևան","Sayat-Nova district, Yerevan",OK,Yerevan,Avan,,Sayat-Nova District,Yerevan,Սայաթ-Նովա պողոտա,,Armenia,40.216879,44.58301,Yandex
"Սայաթ-Նովա թաղամաս 20, Երևան","Sayat-Nova district 20, Yerevan",OK,Yerevan,Avan,,Sayat-Nova block,Yerevan,Սայաթ-Նովա թաղամաս,,Armenia,40.181515,44.55501,Yandex
"Նիկոլայ Ռիժկովի փողոց, Գյումրի","Nikolay Ryzhkov Street, Gyumri",OK,Shirak,Gyumri,,,,Ռիժկովի փողոց,,Armenia,40.7868317,43.8440211,Azure
"Չարենց թաղամաս, Yerevan","Charents District, Yerevan",OK,Yerevan,Avan,,Charents block,Yerevan,Չարենց թաղամաս,,Armenia,40.21570015,44.58462651,Nominatim
"Չարենց թաղամաս, Երևան","Charents District, Yerevan",OK,Yerevan,Avan,,Charents District,Yerevan,Չարենց թաղամաս,,Armenia,40.215123,44.58425,Yandex
